Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
noise_03_person_home_ownership,noise,person_home_ownership,30,dt,0.8389,0.7574,0.3771,0.5036
noise_03_person_home_ownership,noise,person_home_ownership,30,svm,0.78,0.4923,0.5002,0.4962
noise_03_person_income,noise,person_income,30,lda,0.9704,0.9889,0.8733,0.9275
noise_03_person_income,noise,person_income,30,lr,0.9702,0.9711,0.8887,0.9281
noise_03_person_income,noise,person_income,30,et,0.947,0.8681,0.8905,0.8792
noise_03_person_income,noise,person_income,30,rf,0.8657,0.7305,0.6019,0.66
noise_03_person_income,noise,person_income,30,knn,0.8536,0.6998,0.5679,0.627
noise_03_person_income,noise,person_income,30,mlp,0.8437,0.7142,0.4642,0.5627
noise_03_person_income,noise,person_income,30,nb,0.7735,0.3748,0.0685,0.1159
noise_03_person_income,noise,person_income,30,dt,0.2166,0.2166,1.0,0.356
noise_03_person_income,noise,person_income,30,svm,0.8389,0.6694,0.506,0.5763
noise_05_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,50,lda,0.9689,0.9899,0.865,0.9232
noise_05_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,50,lr,0.9723,0.9744,0.8958,0.9335
noise_05_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,50,et,0.954,0.8889,0.9002,0.8945
noise_05_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,50,rf,0.8655,0.7312,0.5995,0.6588
noise_05_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,50,knn,0.8511,0.7402,0.4818,0.5837
noise_05_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,50,mlp,0.8531,0.6552,0.6787,0.6667
noise_05_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,50,nb,0.8207,0.7038,0.2973,0.418
noise_05_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,50,dt,0.8272,0.7249,0.3259,0.4496
noise_05_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,50,svm,0.822,0.7104,0.3005,0.4224
noise_05_cb_person_default_on_file,noise,cb_person_default_on_file,50,lda,0.9736,0.9913,0.8858,0.9356
noise_05_cb_person_default_on_file,noise,cb_person_default_on_file,50,lr,0.9698,0.9775,0.8807,0.9265
noise_05_cb_person_default_on_file,noise,cb_person_default_on_file,50,et,0.9609,0.9017,0.9195,0.9105
noise_05_cb_person_default_on_file,noise,cb_person_default_on_file,50,rf,0.8659,0.7312,0.6019,0.6603
noise_05_cb_person_default_on_file,noise,cb_person_default_on_file,50,knn,0.8527,0.7467,0.4839,0.5872
noise_05_cb_person_default_on_file,noise,cb_person_default_on_file,50,mlp,0.8548,0.6604,0.678,0.6691
noise_05_cb_person_default_on_file,noise,cb_person_default_on_file,50,nb,0.8206,0.7024,0.2983,0.4187
noise_05_cb_person_default_on_file,noise,cb_person_default_on_file,50,dt,0.8069,0.7453,0.1646,0.2697
noise_05_cb_person_default_on_file,noise,cb_person_default_on_file,50,svm,0.7853,1.0,0.0087,0.0173
noise_05_income_group,noise,income_group,50,lda,0.9642,0.9887,0.8446,0.911
noise_05_income_group,noise,income_group,50,lr,0.9528,0.9586,0.8175,0.8824
noise_05_income_group,noise,income_group,50,et,0.9585,0.9042,0.9044,0.9043
noise_05_income_group,noise,income_group,50,rf,0.867,0.7452,0.5861,0.6561
noise_05_income_group,noise,income_group,50,knn,0.8562,0.7781,0.4703,0.5863
noise_05_income_group,noise,income_group,50,mlp,0.8571,0.6949,0.6067,0.6478
noise_05_income_group,noise,income_group,50,nb,0.8197,0.701,0.2922,0.4124
noise_05_income_group,noise,income_group,50,dt,0.7735,0.4852,0.7504,0.5894
noise_05_income_group,noise,income_group,50,svm,0.2166,0.2166,1.0,0.356
noise_05_loan_amnt,noise,loan_amnt,50,lda,0.9682,0.9905,0.8613,0.9214
noise_05_loan_amnt,noise,loan_amnt,50,lr,0.9714,0.9739,0.8918,0.9311
noise_05_loan_amnt,noise,loan_amnt,50,et,0.9488,0.8756,0.89,0.8828
noise_05_loan_amnt,noise,loan_amnt,50,rf,0.8645,0.7264,0.6006,0.6575
noise_05_loan_amnt,noise,loan_amnt,50,knn,0.8522,0.7322,0.5011,0.595
noise_05_loan_amnt,noise,loan_amnt,50,mlp,0.8527,0.6577,0.6667,0.6622
noise_05_loan_amnt,noise,loan_amnt,50,nb,0.8187,0.7153,0.2706,0.3926
noise_05_loan_amnt,noise,loan_amnt,50,dt,0.7873,0.7947,0.0243,0.0472
noise_05_loan_amnt,noise,loan_amnt,50,svm,0.828,0.8949,0.2335,0.3703
noise_05_loan_amount_group,noise,loan_amount_group,50,lda,0.967,0.991,0.8552,0.9181
noise_05_loan_amount_group,noise,loan_amount_group,50,lr,0.9574,0.9639,0.8346,0.8946
noise_05_loan_amount_group,noise,loan_amount_group,50,et,0.9531,0.8836,0.9023,0.8929
noise_05_loan_amount_group,noise,loan_amount_group,50,rf,0.8635,0.7236,0.5982,0.655
noise_05_loan_amount_group,noise,loan_amount_group,50,knn,0.8504,0.7419,0.4742,0.5786
noise_05_loan_amount_group,noise,loan_amount_group,50,mlp,0.8509,0.6574,0.6509,0.6541
noise_05_loan_amount_group,noise,loan_amount_group,50,nb,0.8213,0.7064,0.2991,0.4203
noise_05_loan_amount_group,noise,loan_amount_group,50,dt,0.8437,0.7319,0.4392,0.549
noise_05_loan_amount_group,noise,loan_amount_group,50,svm,0.5851,0.3087,0.7388,0.4354
noise_05_loan_grade,noise,loan_grade,50,lda,0.9595,0.9859,0.8246,0.8981
noise_05_loan_grade,noise,loan_grade,50,lr,0.9494,0.9646,0.7954,0.8719
noise_05_loan_grade,noise,loan_grade,50,et,0.9491,0.8897,0.8731,0.8813
noise_05_loan_grade,noise,loan_grade,50,rf,0.86,0.7612,0.5155,0.6147
noise_05_loan_grade,noise,loan_grade,50,knn,0.8483,0.7475,0.4526,0.5638
noise_05_loan_grade,noise,loan_grade,50,mlp,0.8196,0.7074,0.2849,0.4062
noise_05_loan_grade,noise,loan_grade,50,nb,0.8395,0.7571,0.3815,0.5073
noise_05_loan_grade,noise,loan_grade,50,dt,0.8279,0.7246,0.3313,0.4547
noise_05_loan_grade,noise,loan_grade,50,svm,0.7497,0.4575,0.8381,0.5919
noise_05_loan_int_rate,noise,loan_int_rate,50,lda,0.9657,0.9901,0.8504,0.9149
noise_05_loan_int_rate,noise,loan_int_rate,50,lr,0.9719,0.9742,0.8939,0.9323
noise_05_loan_int_rate,noise,loan_int_rate,50,et,0.9513,0.888,0.8871,0.8876
noise_05_loan_int_rate,noise,loan_int_rate,50,rf,0.8661,0.732,0.6021,0.6607
noise_05_loan_int_rate,noise,loan_int_rate,50,knn,0.8494,0.7356,0.4755,0.5776
noise_05_loan_int_rate,noise,loan_int_rate,50,mlp,0.8538,0.6551,0.6857,0.6701
noise_05_loan_int_rate,noise,loan_int_rate,50,nb,0.7946,0.6942,0.0922,0.1628
noise_05_loan_int_rate,noise,loan_int_rate,50,dt,0.797,0.9597,0.0653,0.1223
noise_05_loan_int_rate,noise,loan_int_rate,50,svm,0.8282,0.7183,0.3401,0.4616
noise_05_loan_intent,noise,loan_intent,50,lda,0.9584,0.9764,0.8281,0.8962
noise_05_loan_intent,noise,loan_intent,50,lr,0.9503,0.9466,0.8167,0.8768
noise_05_loan_intent,noise,loan_intent,50,et,0.8621,0.719,0.5966,0.6521
